,Unnamed: 0,Unnamed: 0.1,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0.1.1,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Hispanic & Black Percentage,Black plurality (Y/N),Pressley percentage,Wu Percentage,Flaherty Percentage,Annissa Percentage,Latino plurality (Y/N),White plurality (Y/N),Asian plurality (Y/N)
10,10,10,285,46,278,172,43,42,192,40,1,1099,1165,566,0111,1425,0.39719298245614,11,111,2722,2141,79,13,87,2,337,63,2722,1610,57,923,0,87,1,19,25,2.90227773695812,0.477590007347539,3.19617927994122,0.0734753857457752,12.3806024981631,2.31447465099192,33.9088905216752,78.6554004408523,36.8111682586334,N,15.6505914467698,25.9326660600546,25.2957233848954,17.4704276615105,N,Y,N
11,11,11,269,35,310,184,49,50,195,35,3,1130,1038,542,0112,1365,0.397069597069597,12,112,1833,1516,33,10,49,0,175,50,1833,1231,26,476,8,49,0,24,19,1.80032733224223,0.545553737043099,2.67321331151118,0,9.54719039825423,2.72776868521549,25.9683578832515,82.7059465357338,27.7686852154937,N,16.283185840708,23.8053097345133,27.4336283185841,17.2566371681416,N,Y,N
12,12,12,315,35,317,205,53,69,193,51,5,1243,1305,637,0113,1916,0.332463465553236,13,113,2624,1792,226,10,99,0,392,105,2624,1192,178,1099,5,95,0,28,27,8.61280487804878,0.38109756097561,3.77286585365854,0,14.9390243902439,4.0015243902439,41.8826219512195,68.2926829268293,50.4954268292683,N,16.4923572003218,25.3419147224457,25.5028157683025,15.526950925181,N,Y,N
13,13,13,153,17,196,106,23,27,111,17,1,651,669,330,0114,960,0.34375,14,114,820,717,21,1,37,1,29,14,820,613,16,145,0,36,1,1,8,2.5609756097561,0.121951219512195,4.51219512195122,0.121951219512195,3.53658536585366,1.70731707317073,17.6829268292683,87.4390243902439,20.2439024390244,N,16.2826420890937,23.5023041474654,30.1075268817204,17.0506912442396,N,Y,N
14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0115,18,0,15,115,530,208,217,2,7,1,78,17,530,165,204,130,2,7,1,13,8,40.9433962264151,0.377358490566038,1.32075471698113,0.188679245283019,14.7169811320755,3.20754716981132,24.5283018867924,39.2452830188679,65.4716981132076,Y,,,,,N,N,N
15,15,15,475,34,505,365,36,108,260,59,6,1848,1328,794,0201,2209,0.359438660027162,16,201,1690,1606,11,0,51,1,15,6,1690,1586,9,36,0,51,1,1,6,0.650887573964497,0,3.01775147928994,0.0591715976331361,0.887573964497041,0.355029585798816,2.1301775147929,95.0295857988166,2.7810650887574,N,19.7510822510822,25.7034632034632,27.3268398268398,14.0692640692641,N,Y,N
16,16,16,508,60,497,377,64,113,294,75,13,2001,1499,875,0202,2985,0.293132328308208,17,202,3716,2422,367,11,602,7,220,87,3716,2182,309,540,5,601,7,22,50,9.8762109795479,0.296017222820237,16.200215285253,0.188374596340151,5.92034445640474,2.34122712594187,14.5317545748116,65.1776103336921,24.4079655543595,N,18.8405797101449,25.3873063468266,24.8375812093953,14.6926536731634,N,Y,N
17,17,17,411,35,308,300,44,90,226,31,5,1450,890,585,0203,1470,0.397959183673469,18,203,1652,1594,7,3,24,0,6,18,1652,1576,7,27,3,23,0,1,15,0.423728813559322,0.181598062953995,1.45278450363196,0,0.36319612590799,1.08958837772397,1.63438256658596,96.4891041162228,2.05811138014528,N,20.6896551724138,28.3448275862069,21.2413793103448,15.5862068965517,N,Y,N
18,18,18,307,29,310,224,28,69,183,32,6,1188,1004,548,0204,1498,0.365821094793057,19,204,1457,1040,132,5,146,0,90,44,1457,966,100,230,0,145,0,3,13,9.05971173644475,0.343170899107756,10.0205902539465,0,6.1770761839396,3.01990391214825,15.7858613589568,71.3795470144132,24.8455730954015,N,18.8552188552189,25.8417508417508,26.0942760942761,15.4040404040404,N,Y,N
19,19,19,375,31,381,272,34,82,229,47,5,1456,900,589,0205,1580,0.372784810126582,20,205,1602,1561,6,0,22,1,3,9,1602,1548,6,18,0,21,0,1,8,0.374531835205992,0,1.37328339575531,0.0624219725343321,0.187265917602996,0.561797752808989,1.12359550561798,97.4406991260924,1.49812734082397,N,18.6813186813187,25.7554945054945,26.1675824175824,15.728021978022,N,Y,N
20,20,20,494,50,575,357,38,103,283,49,6,1955,1485,860,0206,2022,0.425321463897131,21,206,2278,2014,40,3,161,1,29,30,2278,1968,34,94,2,160,1,1,18,1.75592625109745,0.131694468832309,7.06760316066725,0.0438981562774364,1.27304653204565,1.31694468832309,4.12642669007902,88.4108867427568,5.88235294117647,N,18.2608695652174,25.2685421994885,29.4117647058824,14.4757033248082,N,Y,N
21,21,21,335,30,407,231,39,61,186,33,4,1326,958,571,0207,1567,0.364390555201021,22,207,1359,1256,26,0,63,0,5,9,1359,1230,25,28,0,63,0,4,9,1.91317144959529,0,4.63576158940397,0,0.367917586460633,0.662251655629139,2.06033848417954,92.420897718911,3.97350993377484,N,17.420814479638,25.26395173454,30.6938159879336,14.027149321267,N,Y,N
22,22,22,656,63,596,451,74,158,385,76,20,2479,1949,1107,0301,3033,0.364985163204748,23,301,3998,3619,129,8,137,0,50,55,3998,3522,125,156,6,136,0,7,46,3.22661330665333,0.200100050025012,3.42671335667834,0,1.25062531265633,1.37568784392196,3.90195097548774,90.520260130065,7.12856428214107,N,18.192819685357,26.4622831787011,24.0419524001614,15.5304558289633,N,Y,N
23,23,23,272,30,222,196,30,53,176,25,4,1008,844,463,0302,1625,0.284923076923077,24,302,1866,1771,20,1,44,1,20,9,1866,1719,16,71,1,43,1,6,9,1.07181136120043,0.0535905680600214,2.35798499464094,0.0535905680600214,1.07181136120043,0.482315112540193,3.80493033226152,94.908896034298,4.87674169346195,N,19.4444444444444,26.984126984127,22.0238095238095,17.4603174603175,N,Y,N
24,24,24,284,24,284,183,42,52,158,29,6,1062,950,503,0303,1807,0.27836192584394,25,303,2362,2234,13,6,68,0,19,22,2362,2177,12,74,5,67,0,6,21,0.550381033022862,0.254022015241321,2.87891617273497,0,0.804403048264183,0.931414055884843,3.13293818797629,94.5808636748518,3.68331922099915,N,17.2316384180791,26.7419962335217,26.7419962335217,14.8775894538606,N,Y,N
25,25,25,303,39,284,186,45,78,174,34,8,1151,1093,561,0304,1786,0.314109742441209,26,304,1910,1823,14,6,37,2,9,19,1910,1766,14,69,5,37,2,4,13,0.732984293193717,0.31413612565445,1.93717277486911,0.104712041884817,0.471204188481675,0.994764397905759,3.61256544502618,95.4450261780105,4.3455497382199,N,16.1598609904431,26.3249348392702,24.6741963509991,15.1172893136403,N,Y,N
26,26,26,495,61,339,342,85,131,280,66,5,1804,832,659,0305,3073,0.214448421737716,27,305,4660,3353,541,4,640,0,49,73,4660,3006,536,404,4,637,0,9,64,11.6094420600858,0.0858369098712446,13.7339055793991,0,1.05150214592275,1.56652360515021,8.66952789699571,71.9527896995708,20.2789699570816,N,18.9578713968958,27.4390243902439,18.7915742793792,15.5210643015521,N,Y,N
27,27,27,569,60,371,420,59,148,353,84,11,2075,857,733,0306,4266,0.171823722456634,28,306,5373,4484,246,11,455,3,79,95,5373,4291,226,284,10,454,3,18,87,4.5784477945282,0.204727340405732,8.46826726223711,0.0558347292015634,1.47031453564117,1.76809975804951,5.285687697748,83.4543085799367,9.8641354922762,N,20.2409638554217,27.421686746988,17.8795180722892,17.0120481927711,N,Y,N
28,28,28,943,71,598,682,88,228,499,64,23,3196,1700,1224,0307,3810,0.321259842519685,29,307,3951,2911,233,10,629,0,96,72,3951,2788,210,262,7,627,0,9,48,5.89724120475829,0.253100480890914,15.9200202480385,0,2.42976461655277,1.82232346241458,6.63123259934194,73.677549987345,12.5284738041002,N,21.3391739674593,29.5056320400501,18.7108886107635,15.613266583229,N,Y,N
29,29,29,964,57,480,637,78,160,554,72,36,3038,2186,1306,0308,5709,0.228761604484148,30,308,7821,3585,377,4,3598,4,103,150,7821,3347,351,386,4,3594,3,15,121,4.82035545326685,0.0511443549418233,46.0043472701701,0.0511443549418233,1.31696713975195,1.91791331031837,4.93543025188595,45.8381281166091,9.75578570515279,N,20.9677419354839,31.7314022383147,15.7998683344306,18.2356813693219,N,N,Y
30,30,30,553,20,319,397,36,90,303,44,4,1766,914,670,0401,1784,0.375560538116592,31,401,2011,1736,70,4,129,0,35,37,2011,1667,64,102,4,129,0,18,27,3.4808552958727,0.198906016907011,6.41471904525112,0,1.74042764793635,1.83988065638986,5.07210343112879,86.325211337643,8.55295872700149,N,22.480181200453,31.3137032842582,18.0634201585504,17.1574178935447,N,Y,N
31,31,31,501,38,290,397,53,150,248,54,11,1742,1050,698,0402,3015,0.23150912106136,32,402,3532,2541,390,8,468,0,54,71,3532,2397,375,212,7,466,0,11,64,11.0419026047565,0.226500566251416,13.2502831257078,0,1.52887882219706,2.01019252548131,6.00226500566251,71.9422423556059,17.044167610419,N,22.7898966704937,28.760045924225,16.6475315729047,14.2365097588978,N,Y,N
32,32,32,346,14,192,267,37,84,194,30,0,1164,536,425,0403,1247,0.340817963111468,33,403,1337,985,211,2,81,0,27,31,1337,938,200,93,2,81,0,2,21,15.7816005983545,0.149588631264024,6.05833956619297,0,2.01944652206432,2.31862378459237,6.95587135377711,73.6724008975318,22.7374719521316,N,22.9381443298969,29.7250859106529,16.4948453608247,16.6666666666667,N,Y,N
33,33,33,362,37,202,271,42,98,167,38,7,1224,636,465,0404,1797,0.258764607679466,34,404,2256,1625,358,5,143,1,54,70,2256,1520,337,199,3,143,1,8,45,15.8687943262411,0.221631205673759,6.3386524822695,0.0443262411347518,2.3936170212766,3.10283687943262,8.8209219858156,72.0301418439716,24.6897163120567,N,22.140522875817,29.5751633986928,16.5032679738562,13.6437908496732,N,Y,N
34,34,34,228,16,166,182,13,62,124,22,7,820,552,343,0405,1520,0.225657894736842,35,405,2953,2098,294,5,448,1,47,60,2953,1947,282,215,5,445,1,7,51,9.95597697257027,0.169319336268202,15.1710125296309,0.0338638672536404,1.5916017609211,2.03183203521842,7.28073145953268,71.0463934981375,17.236708432103,N,22.1951219512195,27.8048780487805,20.2439024390244,15.1219512195122,N,Y,N
35,35,35,183,20,122,137,35,61,107,33,6,704,404,277,0406,1327,0.208741522230595,36,406,2498,1639,235,9,437,0,84,94,2498,1494,222,264,8,437,0,14,59,9.40752602081665,0.360288230584468,17.4939951961569,0,3.3626901521217,3.76301040832666,10.5684547638111,65.6124899919936,19.9759807846277,N,19.4602272727273,25.9943181818182,17.3295454545455,15.1988636363636,N,Y,N
36,36,36,176,18,106,148,36,62,117,26,0,689,315,251,0407,1357,0.184966838614591,37,407,4109,2808,291,10,745,2,114,139,4109,2631,276,329,6,742,2,12,111,7.0820150888294,0.243368216110976,18.1309321002677,0.0486736432221952,2.77439766366513,3.38281820394256,8.00681431005111,68.337795083962,15.0888293988805,N,21.4804063860668,25.544267053701,15.3846153846154,16.9811320754717,N,Y,N
37,37,37,181,20,113,139,24,58,99,27,2,663,389,263,0408,1437,0.183020180932498,38,408,4521,3301,284,8,701,2,111,114,4521,3106,266,331,6,696,1,20,95,6.28179606281796,0.17695200176952,15.5054191550542,0.04423800044238,2.45520902455209,2.52156602521566,7.32138907321389,73.0148197301482,13.6031851360319,N,20.9653092006033,27.3001508295626,17.0437405731523,14.9321266968326,N,Y,N
38,38,38,63,12,34,63,20,30,36,11,1,270,214,121,0409,1115,0.108520179372197,39,409,4347,3085,411,13,450,3,223,162,4347,2822,368,573,6,447,3,9,119,9.45479641131815,0.299056820795951,10.351966873706,0.0690131124913734,5.12997469519209,3.72670807453416,13.1815044858523,70.9684840119623,22.6363008971705,N,23.3333333333333,23.3333333333333,12.5925925925926,13.3333333333333,N,Y,N
39,39,39,48,13,23,40,16,13,26,8,1,188,56,61,0410,781,0.0781049935979513,40,410,5545,4247,359,6,601,5,155,172,5545,4098,328,350,3,592,4,19,151,6.47430117222723,0.108205590622182,10.8385933273219,0.0901713255184851,2.79531109107304,3.10189359783589,6.31199278629396,76.5915238954013,12.7862939585212,N,21.2765957446809,25.531914893617,12.2340425531915,13.8297872340426,N,Y,N
