,Ward,Precinct_x,Winner,2nd,3rd,4th,Flaherty,St. Guillen,Wu,Mejia,Murphy,Garrison,Halbert,Essaibi-George,Total,Write-in,Wu Percentage,Ward_Precinct_Code,Black plurality (Y/N),Unnamed: 0_y,Precinct_y,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Turnout,White plurality (Y/N),Asian plurality (Y/N),Hispanic plurality (Y/N)
177,14,10,Flaherty,Wu,Essaibi-George,Garrison,89,28,72,45,19,51,25,60,389,0,18.5089974293059,1410,Y,130,1410,1937,205,1254,12,17,3,350,96,1937,26,1131,661,9,16,3,36,55,64.7392875580795,0.619514713474445,0.877645844088797,0.154878678368611,18.0691791430047,4.95611770779556,34.1249354672173,10.5833763551884,0.0371708828084667,N,N,N
178,7,10,Flaherty,Wu,Mejia,Essaibi-George,72,30,71,65,19,46,17,64,385,1,18.4415584415584,0710,Y,70,0710,1847,325,584,6,47,2,686,197,1847,206,540,377,3,46,1,504,170,31.6188413643747,0.324851109907959,2.54466702761234,0.108283703302653,37.14131023281,10.6659447753113,20.4114780725501,17.5961017866811,0.0384407146724418,N,N,N
179,16,6,Wu,Essaibi-George,Flaherty,Murphy,130,68,159,111,121,61,55,154,864,5,18.4027777777778,1606,Y,149,1606,2277,580,881,4,577,1,146,88,2277,502,816,260,3,577,1,57,61,38.6912604303909,0.175669740887132,25.3403601229688,0.043917435221783,6.41194554238032,3.86473429951691,11.4185331576636,25.4721124286342,0.069828722002635,N,N,N
180,15,6,Flaherty,Wu,Essaibi-George,Murphy,95,27,78,43,51,29,26,74,424,1,18.3962264150943,1506,N,140,1506,1038,329,154,1,459,0,57,38,1038,313,144,75,1,459,0,11,35,14.8362235067437,0.0963391136801541,44.2196531791908,0,5.49132947976879,3.66088631984586,7.22543352601156,31.6955684007707,0.0751445086705202,N,Y,N
181,18,18,Flaherty,Wu,Essaibi-George,Mejia,221,94,190,121,108,88,52,159,1035,2,18.3574879227053,1818,Y,187,1818,2356,1007,985,6,17,4,253,84,2356,827,913,537,4,17,0,16,42,41.8081494057725,0.254668930390492,0.721561969439728,0.169779286926995,10.7385398981324,3.56536502546689,22.7928692699491,42.741935483871,0.0806451612903226,Y,N,N
182,7,5,Flaherty,Wu,Murphy,Essaibi-George,124,29,90,29,76,52,19,72,491,0,18.3299389002037,0705,N,65,0705,1905,1407,177,5,157,2,107,50,1905,1338,138,229,3,154,2,17,24,9.29133858267716,0.26246719160105,8.24146981627297,0.10498687664042,5.61679790026247,2.6246719160105,12.0209973753281,73.8582677165354,0.047244094488189,Y,N,N
183,20,12,Wu,Essaibi-George,Flaherty,St. Guillen,162,140,185,56,134,82,68,176,1010,7,18.3168316831683,2012,N,217,2012,1044,989,15,0,30,0,5,5,1044,974,14,23,0,30,0,0,3,1.4367816091954,0,2.8735632183908,0,0.478927203065134,0.478927203065134,2.20306513409962,94.7318007662835,0.1772030651341,Y,N,N
184,14,14,Wu,Mejia,Essaibi-George,Flaherty,68,30,78,73,15,53,38,69,426,2,18.3098591549296,1414,Y,134,1414,1350,10,1203,3,5,0,86,43,1350,5,1127,179,2,5,0,3,29,89.1111111111111,0.222222222222222,0.37037037037037,0,6.37037037037037,3.18518518518519,13.2592592592593,0.740740740740741,0.0577777777777778,N,N,N
185,13,5,Wu,Essaibi-George,Mejia,Flaherty,55,33,71,61,24,48,27,69,388,0,18.298969072165,1305,Y,115,1305,1352,334,529,5,11,2,346,125,1352,263,483,284,1,11,2,206,102,39.1272189349112,0.369822485207101,0.813609467455621,0.14792899408284,25.5917159763314,9.24556213017751,21.0059171597633,24.7041420118343,0.0525147928994083,N,N,N
186,18,1,Essaibi-George,Wu,Flaherty,Mejia,194,123,214,163,49,112,77,232,1170,6,18.2905982905983,1801,Y,170,1801,2382,221,1849,20,28,0,174,90,2382,166,1748,358,9,28,0,22,51,77.6238455079765,0.839630562552477,1.17548278757347,0,7.30478589420655,3.77833753148615,15.0293870696893,9.27791771620487,0.089840470193115,N,N,N
187,20,17,Essaibi-George,Wu,Flaherty,Murphy,236,138,250,68,218,121,68,256,1367,12,18.2882223847842,2017,N,222,2017,1926,1763,55,1,84,0,6,17,1926,1708,52,70,0,84,0,0,12,2.85565939771547,0.0519210799584631,4.3613707165109,0,0.311526479750779,0.882658359293873,3.63447559709242,91.5368639667705,0.129802699896158,Y,N,N
188,1,13,Flaherty,Wu/Essaibi-George,Wu/Essaibi-George,Mejia,176,66,134,68,60,53,32,134,733,10,18.281036834925,0113,N,13,0113,2624,1792,226,10,99,0,392,105,2624,1192,178,1099,5,95,0,28,27,8.61280487804878,0.38109756097561,3.77286585365854,0,14.9390243902439,4.0015243902439,41.8826219512195,68.2926829268293,0.0510670731707317,Y,N,N
189,10,1,Flaherty,Wu,Essaibi-George,Mejia,123,71,106,84,22,47,30,98,581,0,18.2444061962134,1001,N,83,1001,888,264,261,11,138,0,172,42,888,159,232,333,9,138,0,0,17,29.3918918918919,1.23873873873874,15.5405405405405,0,19.3693693693694,4.72972972972973,37.5,29.7297297297297,0.119369369369369,N,N,Y
190,8,5,Mejia,Wu,Flaherty,Essaibi-George,79,30,81,86,15,59,27,62,444,5,18.2432432432432,0805,Y,75,0805,1638,124,659,8,40,4,613,190,1638,59,610,290,4,38,3,477,157,40.2319902319902,0.488400488400488,2.44200244200244,0.244200244200244,37.4236874236874,11.5995115995116,17.7045177045177,7.57020757020757,0.0494505494505494,N,N,N
191,20,14,Essaibi-George,Wu,Flaherty,Murphy,164,87,180,54,157,79,65,197,987,4,18.2370820668693,2014,N,219,2014,915,845,18,1,36,0,6,9,915,828,13,28,1,36,0,1,8,1.9672131147541,0.109289617486339,3.9344262295082,0,0.655737704918033,0.983606557377049,3.06010928961749,92.3497267759563,0.19672131147541,Y,N,N
192,17,2,Essaibi-George,Wu,Mejia,Flaherty,46,32,62,48,19,41,23,68,340,1,18.2352941176471,1702,Y,157,1702,983,85,617,6,93,2,124,56,983,55,563,176,1,91,0,51,46,62.7670396744659,0.610376398779247,9.46083418107833,0.203458799593082,12.6144455747711,5.69684638860631,17.9043743641912,8.646998982706,0.0630722278738555,N,N,N
193,14,1,Essaibi-George,Wu,Flaherty,Mejia,121,58,124,119,17,75,42,125,681,0,18.208516886931,1401,Y,121,1401,2866,279,1824,19,37,5,557,145,2866,48,1688,920,9,35,1,93,72,63.6427076064201,0.662944870900209,1.29099790648988,0.174459176552687,19.4347522679693,5.05931612002791,32.1004884856943,9.73482205163992,0.0432658757850663,N,N,N
194,18,4,Flaherty,Wu,Essaibi-George,Mejia,137,73,129,120,23,64,37,125,712,4,18.1179775280899,1804,Y,173,1804,2024,96,1764,5,9,0,95,55,2024,70,1711,168,5,9,0,21,40,87.1541501976285,0.24703557312253,0.444664031620553,0,4.69367588932806,2.71739130434783,8.300395256917,4.74308300395257,0.0637351778656127,N,N,N
195,20,20,Essaibi-George,Wu,Flaherty,Murphy,205,121,207,68,165,84,75,209,1143,9,18.1102362204724,2020,N,225,2020,2367,1882,102,1,283,0,50,49,2367,1796,97,135,1,283,0,15,40,4.30925221799747,0.042247570764681,11.9560625264047,0,2.11237853823405,2.07013096746937,5.70342205323194,79.5099281791297,0.0874524714828897,Y,N,N
196,13,6,Essaibi-George,Wu,Flaherty,Mejia,107,50,114,63,58,50,32,150,630,6,18.0952380952381,1306,N,116,1306,1615,587,458,7,125,3,334,101,1615,517,420,272,4,125,3,196,78,28.359133126935,0.43343653250774,7.73993808049536,0.185758513931888,20.6811145510836,6.25386996904025,16.8421052631579,36.3467492260062,0.0705882352941176,Y,N,N
197,20,18,Essaibi-George,Wu,St. Guillen,Flaherty,100,105,134,52,97,55,49,150,743,1,18.0349932705249,2018,N,223,2018,1041,908,48,7,59,0,8,11,1041,880,45,45,2,59,0,5,5,4.61095100864553,0.672430355427474,5.66762728146013,0,0.768491834774256,1.0566762728146,4.32276657060519,87.223823246878,0.128722382324688,Y,N,N
198,16,1,Essaibi-George,Wu,Flaherty,Mejia,63,41,85,60,58,40,30,88,472,7,18.0084745762712,1601,N,144,1601,1581,388,444,5,566,0,125,53,1581,327,419,192,4,561,0,35,43,28.0834914611006,0.316255534471853,35.8001265022138,0,7.90638836179633,3.35230866540165,12.1442125237192,24.5414294750158,0.053763440860215,N,Y,N
199,17,8,Mejia,Wu,Essaibi-George,Flaherty,72,40,86,90,25,56,28,81,478,0,17.9916317991632,1708,Y,163,1708,1261,100,1002,9,10,0,91,49,1261,59,958,191,2,10,0,14,27,79.4607454401269,0.713719270420301,0.793021411578113,0,7.21649484536082,3.88580491673275,15.146708961142,7.93021411578112,0.0681998413957177,N,N,N
200,12,5,Wu,Flaherty,Garrison,Mejia,74,41,82,65,16,68,33,62,456,15,17.9824561403509,1205,Y,106,1205,860,48,684,10,2,0,86,30,860,15,655,151,6,1,0,12,20,79.5348837209302,1.16279069767442,0.232558139534884,0,10,3.48837209302326,17.5581395348837,5.58139534883721,0.0953488372093023,N,N,N
201,8,7,Wu,Garrison,Mejia,Essaibi-George,48,38,64,54,16,58,27,51,356,0,17.9775280898876,0807,Y,77,0807,1084,183,635,11,10,0,156,89,1084,71,580,326,5,10,0,38,54,58.5793357933579,1.01476014760148,0.922509225092251,0,14.3911439114391,8.21033210332103,30.0738007380074,16.8819188191882,0.0590405904059041,N,N,N
202,20,13,Wu,Essaibi-George,Flaherty,St. Guillen,134,111,142,41,106,73,42,141,792,2,17.9292929292929,2013,N,218,2013,952,858,19,0,56,1,12,6,952,842,19,29,0,56,1,3,2,1.99579831932773,0,5.88235294117647,0.105042016806723,1.26050420168067,0.630252100840336,3.04621848739496,90.1260504201681,0.149159663865546,Y,N,N
203,20,3,Flaherty,Wu/Essiabi-George,Wu/Essiabi-George,Garrison,158,71,142,65,85,95,30,142,793,5,17.906683480454,2003,N,208,2003,1967,1118,543,4,121,0,133,48,1967,1001,508,298,4,121,0,7,28,27.6054905948144,0.203355363497712,6.1514997458058,0,6.76156583629893,2.44026436197255,15.1499745805796,56.8378240976106,0.0721911540416879,Y,N,N
