City/Town,Ward,Pct,Edward J. Markey,"Joseph P. Kennedy, III",All Others,Blanks,Total Votes Cast,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,2.00,7.00,438.00,222.00,2.00,14.00,676.00,1359.00,1256.00,26.00,0.00,63.00,0.00,5.00,9.00,1359.00,1230.00,25.00,28.00,0.00,63.00,0.00,4.00,9.00,1.91,0.00,4.64,0.00,0.37,0.66,2.06,92.42
Boston,3.00,1.00,594.00,371.00,2.00,11.00,978.00,3998.00,3619.00,129.00,8.00,137.00,0.00,50.00,55.00,3998.00,3522.00,125.00,156.00,6.00,136.00,0.00,7.00,46.00,3.23,0.20,3.43,0.00,1.25,1.38,3.90,90.52
Boston,3.00,2.00,308.00,162.00,1.00,5.00,476.00,1866.00,1771.00,20.00,1.00,44.00,1.00,20.00,9.00,1866.00,1719.00,16.00,71.00,1.00,43.00,1.00,6.00,9.00,1.07,0.05,2.36,0.05,1.07,0.48,3.80,94.91
Boston,3.00,3.00,324.00,160.00,1.00,8.00,493.00,2362.00,2234.00,13.00,6.00,68.00,0.00,19.00,22.00,2362.00,2177.00,12.00,74.00,5.00,67.00,0.00,6.00,21.00,0.55,0.25,2.88,0.00,0.80,0.93,3.13,94.58
Boston,3.00,4.00,390.00,198.00,0.00,9.00,597.00,1910.00,1823.00,14.00,6.00,37.00,2.00,9.00,19.00,1910.00,1766.00,14.00,69.00,5.00,37.00,2.00,4.00,13.00,0.73,0.31,1.94,0.10,0.47,0.99,3.61,95.45
Boston,3.00,5.00,728.00,385.00,2.00,8.00,1123.00,4660.00,3353.00,541.00,4.00,640.00,0.00,49.00,73.00,4660.00,3006.00,536.00,404.00,4.00,637.00,0.00,9.00,64.00,11.61,0.09,13.73,0.00,1.05,1.57,8.67,71.95
Boston,3.00,6.00,903.00,475.00,0.00,14.00,1392.00,5373.00,4484.00,246.00,11.00,455.00,3.00,79.00,95.00,5373.00,4291.00,226.00,284.00,10.00,454.00,3.00,18.00,87.00,4.58,0.20,8.47,0.06,1.47,1.77,5.29,83.45
Boston,3.00,7.00,943.00,437.00,0.00,10.00,1390.00,3951.00,2911.00,233.00,10.00,629.00,0.00,96.00,72.00,3951.00,2788.00,210.00,262.00,7.00,627.00,0.00,9.00,48.00,5.90,0.25,15.92,0.00,2.43,1.82,6.63,73.68
Boston,3.00,8.00,1197.00,663.00,2.00,19.00,1881.00,7821.00,3585.00,377.00,4.00,3598.00,4.00,103.00,150.00,7821.00,3347.00,351.00,386.00,4.00,3594.00,3.00,15.00,121.00,4.82,0.05,46.00,0.05,1.32,1.92,4.94,45.84
Boston,4.00,1.00,487.00,245.00,0.00,3.00,735.00,2011.00,1736.00,70.00,4.00,129.00,0.00,35.00,37.00,2011.00,1667.00,64.00,102.00,4.00,129.00,0.00,18.00,27.00,3.48,0.20,6.41,0.00,1.74,1.84,5.07,86.33
Boston,4.00,2.00,574.00,450.00,0.00,5.00,1029.00,3532.00,2541.00,390.00,8.00,468.00,0.00,54.00,71.00,3532.00,2397.00,375.00,212.00,7.00,466.00,0.00,11.00,64.00,11.04,0.23,13.25,0.00,1.53,2.01,6.00,71.94
Boston,4.00,3.00,345.00,194.00,0.00,1.00,540.00,1337.00,985.00,211.00,2.00,81.00,0.00,27.00,31.00,1337.00,938.00,200.00,93.00,2.00,81.00,0.00,2.00,21.00,15.78,0.15,6.06,0.00,2.02,2.32,6.96,73.67
Boston,4.00,4.00,428.00,239.00,2.00,1.00,670.00,2256.00,1625.00,358.00,5.00,143.00,1.00,54.00,70.00,2256.00,1520.00,337.00,199.00,3.00,143.00,1.00,8.00,45.00,15.87,0.22,6.34,0.04,2.39,3.10,8.82,72.03
Boston,4.00,5.00,284.00,161.00,0.00,0.00,445.00,2953.00,2098.00,294.00,5.00,448.00,1.00,47.00,60.00,2953.00,1947.00,282.00,215.00,5.00,445.00,1.00,7.00,51.00,9.96,0.17,15.17,0.03,1.59,2.03,7.28,71.05
