,TITO JACKSON,JOSEPH A WILEY,ROBERT CAPPUCCI,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Walsh Percentage of votes,Jackson Percentage of votes,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Ward_Precinct_BallotXTurnout
19,43,8,38,248,0,3,340,10,350,70.85714286,12.28571429,0207,1567,0.2233567326,22,0207,1359,1256,26,0,63,0,5,9,1359,1230,25,28,0,63,0,4,9,1.91317145,0,4.635761589,0,0.3679175865,0.6622516556,2.060338484,92.42089772,78.17485641
20,107,8,95,449,0,3,662,20,682,65.83577713,15.68914956,0301,3033,0.2248598747,23,0301,3998,3619,129,8,137,0,50,55,3998,3522,125,156,6,136,0,7,46,3.226613307,0.20010005,3.426713357,0,1.250625313,1.375687844,3.901950975,90.52026013,153.3544346
21,48,4,42,152,0,1,247,8,255,59.60784314,18.82352941,0302,1625,0.1569230769,24,0302,1866,1771,20,1,44,1,20,9,1866,1719,16,71,1,43,1,6,9,1.071811361,0.05359056806,2.357984995,0.05359056806,1.071811361,0.4823151125,3.804930332,94.90889603,40.01538462
22,42,2,41,197,0,0,282,8,290,67.93103448,14.48275862,0303,1807,0.160486995,25,0303,2362,2234,13,6,68,0,19,22,2362,2177,12,74,5,67,0,6,21,0.550381033,0.2540220152,2.878916173,0,0.8044030483,0.9314140559,3.132938188,94.58086367,46.54122856
23,36,2,65,214,0,0,317,13,330,64.84848485,10.90909091,0304,1786,0.1847704367,26,0304,1910,1823,14,6,37,2,9,19,1910,1766,14,69,5,37,2,4,13,0.7329842932,0.3141361257,1.937172775,0.1047120419,0.4712041885,0.9947643979,3.612565445,95.44502618,60.97424412
24,85,7,31,151,0,1,275,0,275,54.90909091,30.90909091,0305,3073,0.0894890986,27,0305,4660,3353,541,4,640,0,49,73,4660,3006,536,404,4,637,0,9,64,11.60944206,0.08583690987,13.73390558,0,1.051502146,1.566523605,8.669527897,71.9527897,24.60950212
25,90,2,15,193,1,2,303,4,307,62.86644951,29.31596091,0306,4266,0.07196436943,28,0306,5373,4484,246,11,455,3,79,95,5373,4291,226,284,10,454,3,18,87,4.578447795,0.2047273404,8.468267262,0.0558347292,1.470314536,1.768099758,5.285687698,83.45430858,22.09306142
26,158,3,9,388,0,4,562,12,574,67.59581882,27.5261324,0307,3810,0.150656168,29,0307,3951,2911,233,10,629,0,96,72,3951,2788,210,262,7,627,0,9,48,5.897241205,0.2531004809,15.92002025,0,2.429764617,1.822323462,6.631232599,73.67754999,86.47664042
27,99,6,14,612,0,3,734,28,762,80.31496063,12.99212598,0308,5709,0.133473463,30,0308,7821,3585,377,4,3598,4,103,150,7821,3347,351,386,4,3594,3,15,121,4.820355453,0.05114435494,46.00434727,0.05114435494,1.31696714,1.91791331,4.935430252,45.83812812,101.7067788
28,109,0,6,237,0,0,352,6,358,66.20111732,30.44692737,0401,1784,0.2006726457,31,0401,2011,1736,70,4,129,0,35,37,2011,1667,64,102,4,129,0,18,27,3.480855296,0.1989060169,6.414719045,0,1.740427648,1.839880656,5.072103431,86.32521134,71.84080717
29,107,1,7,205,3,0,323,7,330,62.12121212,32.42424242,0402,3015,0.1094527363,32,0402,3532,2541,390,8,468,0,54,71,3532,2397,375,212,7,466,0,11,64,11.0419026,0.2265005663,13.25028313,0,1.528878822,2.010192525,6.002265006,71.94224236,36.11940299
30,63,1,5,147,1,3,220,4,224,65.625,28.125,0403,1247,0.1796311147,33,0403,1337,985,211,2,81,0,27,31,1337,938,200,93,2,81,0,2,21,15.7816006,0.1495886313,6.058339566,0,2.019446522,2.318623785,6.955871354,73.6724009,40.23736969
31,62,3,4,164,0,0,233,5,238,68.90756303,26.05042017,0404,1797,0.1324429605,34,0404,2256,1625,358,5,143,1,54,70,2256,1520,337,199,3,143,1,8,45,15.86879433,0.2216312057,6.338652482,0.04432624113,2.393617021,3.102836879,8.820921986,72.03014184,31.5214246
32,57,4,6,110,0,2,179,4,183,60.10928962,31.14754098,0405,1520,0.1203947368,35,0405,2953,2098,294,5,448,1,47,60,2953,1947,282,215,5,445,1,7,51,9.955976973,0.1693193363,15.17101253,0.03386386725,1.591601761,2.031832035,7.28073146,71.0463935,22.03223684
33,51,2,7,86,1,1,148,1,149,57.71812081,34.22818792,0406,1327,0.1122833459,36,0406,2498,1639,235,9,437,0,84,94,2498,1494,222,264,8,437,0,14,59,9.407526021,0.3602882306,17.4939952,0,3.362690152,3.763010408,10.56845476,65.61248999,16.73021854
34,48,1,3,59,0,1,112,0,112,52.67857143,42.85714286,0407,1357,0.08253500368,37,0407,4109,2808,291,10,745,2,114,139,4109,2631,276,329,6,742,2,12,111,7.082015089,0.2433682161,18.1309321,0.04867364322,2.774397664,3.382818204,8.00681431,68.33779508,9.243920413
35,45,1,6,102,0,0,154,4,158,64.55696203,28.48101266,0408,1437,0.1099512874,38,0408,4521,3301,284,8,701,2,111,114,4521,3106,266,331,6,696,1,20,95,6.281796063,0.1769520018,15.50541916,0.04423800044,2.455209025,2.521566025,7.321389073,73.01481973,17.37230341
